"game_id" "description" "image" "max_players" "max_playtime" "min_age" "min_players" "min_playtime" "name" "playing_time" "thumbnail" "year_published" "artist" "category" "compilation" "designer" "expansion" "family" "mechanic" "publisher" "average_rating" "users_rated"
"80" 93 "In this award-winning game, players take on the roles of Grandes in medieval Spain.  The king's power is flagging, and these powerful lords are vying for control of the various regions.  To that end, you draft caballeros (knights in the form of colored cubes) into your court and subsequently move them onto the board to help seize control of regions.  After every third round, the regions are scored, and after the ninth round, the player with the most points is the winner.&#10;&#10;In each of the nine rounds, you select one of your 13 power cards to determine turn order as well as the number of caballeros you get to move from the provinces (general supply) into your court (personal supply).&#10;&#10;A turn then consists of selecting one of five action cards which allow variations to the rules and additional scoring opportunities in addition to determining how many caballeros to move from your court to one or more of the regions on the board (or into the castillo - a secretive tower). Normally, you may only place your caballeros into regions adjacent to the one containing the king pawn. The one hard and fast rule in El Grande is that nothing may move into or out of the king's region. One of the five action cards that is always available each round allows you to move the king to a new region. The other four action cards varying from round to round.&#10;&#10;The goal is to have a caballero majority in as many regions (and the castillo) as possible during a scoring round. Following the scoring of the castillo, you place any cubes you had stashed there into the region you had secretly indicated on your region dial. Each region is then scored individually according to a table printed in that region. Two-point bonuses are awarded for having sole majority in the region containing your Grande (large cube) and in the region containing the king.&#10;&#10;" "//cf.geekdo-images.com/images/pic180538.jpg" 5 120 12 2 60 "El Grande" 120 "//cf.geekdo-images.com/images/pic180538_t.jpg" 1995 "Doris Matthäus" "Renaissance" "El Grande Big Box,El Grande Decennial Edition" "Wolfgang Kramer,Richard Ulrich" "The El Grande Expansions,El Grande: Grandissimo,El Grande: Grossinquisitor und Kolonien,El Grande: König & Intrigant,El Grande: König & Intrigant – Player's Edition,El Grande: König & Intrigant – Unverkäufliche Sonderkarten" "Country: Spain,El Grande" "Area Control / Area Influence,Area Movement,Auction/Bidding,Card Drafting,Hand Management,Memory,Simultaneous Action Selection" "Hans im Glück Verlags-GmbH,999 Games,Användbart Litet Företag,Descartes Editeur,Filosofia Éditions,Gabinete Lúdico,Rio Grande Games" 7.80446 18423
"81" 94 "Union Pacific is a train-themed stock market game.  On each turn, players must choose between expanding a company to increase its value and adding a share of stock to their hand, or playing stock onto the table from their hand to increase their ownership of one or two companies.  There are four semi-random scoring events, in which the first and second place share holder in each company are paid dividends.  Only stock that has been previously played onto the table is considered during the scoring rounds.   Union Pacific is a special company whose shares are claimed according to special rules.  Union Pacific is not represented on the board but instead pays dividends to all share holders according to a fixed progression chart.  Money is only used to track victory conditions and cannot be spent during the game.  The winner is the player with the most money at the end of the game.&#10;&#10;Re-implements:&#10;&#10;&#10;     Airlines&#10;&#10;&#10;Re-implemented as:&#10;&#10;&#10;     Airlines Europe&#10;&#10;&#10;" "//cf.geekdo-images.com/images/pic226392.jpg" 6 90 12 2 90 "Union Pacific" 90 "//cf.geekdo-images.com/images/pic226392_t.jpg" 1999 "Franz Vohwinkel" "Economic,Trains" NA "Alan R. Moon" NA "Country: USA" "Card Drafting,Route/Network Building,Stock Holding" "999 Games,AMIGO Spiel + Freizeit GmbH,Rio Grande Games" 7.24855 3932
"82" 95 "Translated literally, the title means &quot;Hedgehog Irking&quot; (or a bit more loosely, &quot;Annoying the Hedgehogs&quot;), but the game is usually referred to in English as &quot;Hedgehogs in a Hurry.&quot; This game gives players several wooden disks (the hedgehogs) to place in one of six rows.  During a turn, you roll a die, optionally move any of your hedgehogs one row left or right, then move any hedgehog (not necessarily yours!) in the row your rolled forward one space.  But watch out for black spaces; hedgehogs caught there can't continue moving until they're in last place.  The first player to get three of their four hedgehogs to the end of the board wins.  Some later versions of this game come with dozens of different variants to keep the game interesting.&#10;&#10;" "//cf.geekdo-images.com/images/pic309356.jpg" 6 30 8 2 30 "Igel Ärgern" 30 "//cf.geekdo-images.com/images/pic309356_t.jpg" 1990 "Doris Matthäus" "Animals,Children's Game,Dice,Racing" NA "Doris Matthäus,Frank Nestel" NA "Animals: Hedgehogs/Porcupines" "Roll / Spin and Move" "Doris & Frank,University Games" 6.41002 960
"83" 96 "Broadsides and Boarding Parties was the first title in Milton Bradley's Gamemaster series of games.  It is a light tactical war game during the age of sail where two ships face off against one another on the sea.  There are basically two layers to the game, the broadsides portion in which players plot their movement with a deck of cards, attempting to maneuver their ships in such a way that they can fire a volley of cannon balls at the opponent while minimizing the risk of return fire.&#10;&#10;The second layer of the game begins when the movement of ships results in them bumping into one another.  In these instances the Boarding Parties portion comes into play.  Here players line up their ships next to one another and attempt to storm the other ship and kill the opposing captain.  Players can only move a limited amount of their units each turn and so some planning is required to hem in the opposing captain.&#10;&#10;The components for the game are quite elaborate.  Each player is given a fully detailed plastic ship about a foot long with removable masts.  Also, each player is given a whole crew of little plastic pirate figures, cannon, and captain.  Lastly the board is full color and styled in the period.&#10;&#10;&#10;Note that the first edition was published in 1982 by Larry Harris, Jr. (Citadel Game Systems) and came in a box similar in size to the Games Workshop Ltd. or Avalon Hill games.  There are no elaborate plastic ships, cannons or playing pieces in the original edition, though.  You get paper maps and cardboard counters.&#10;&#10;" "//cf.geekdo-images.com/images/pic1021646.jpg" 2 60 10 2 60 "Broadsides and Boarding Parties" 60 "//cf.geekdo-images.com/images/pic1021646_t.jpg" 1982 NA "Nautical,Pirates,Wargame" NA "Larry Harris, Jr." NA "Gamemaster Series" "Action / Movement Programming,Dice Rolling,Hand Management,Point to Point Movement" "Citadel Game Systems,Milton Bradley" 6.13295 495
"84" 97 "Conquest of the Empire is part of Milton Bradley's Gamemaster series.  It is set during the Roman Empire and depicts the struggle around the Mediterranean as rival factions attempt to take control of the empire.  Each player plays one of these factions and receives a Caesar figure, several general figures, and ships of a specific color.  Along with these leaders, players utilize a pool of generic units composed of infantry, cavalry, and catapults.  All game pieces are plastic figures.&#10;&#10;Players attempt to conquer their neighbors and build up cities and fortifications to increase production of wealth.  Players also may build road networks that allow for faster movement, by all armies.  Along the way players have to contend with rising inflation which makes military units more and more expensive.  Eventually through elimination one player pulls ahead for the win.&#10;&#10;Re-implemented by:&#10;&#10;    Eagle Games's Conquest of the Empire (2005)&#10;&#10;&#10;&#10;&#10;" "//cf.geekdo-images.com/images/pic901704.jpg" 6 180 10 2 180 "Conquest of the Empire" 180 "//cf.geekdo-images.com/images/pic901704_t.jpg" 1984 NA "Ancient,Economic,Wargame" NA "Larry Harris, Jr." NA "Ancient Rome,Gamemaster Series" "Area Movement,Dice Rolling" "Milton Bradley" 6.26548 906
"85" 98 "Axis and Allies is the most successful of Milton Bradley's Gamemaster series.&#10;&#10;It depicts WWII on a grand scale, full global level. Up to five players can play on two different teams. The Axis which has Germany and Japan, and the Allies which has the USA, the United Kingdom, and the USSR. A full map of the world is provided, broken up in various chunks similar to Risk. The game comes with gobs of plastic miniatures that represent various military units during WWII.  Players have at their disposal infantry, armor, fighters, bombers, battleships, aircraft carriers, submarines, troop transports, anti-air guns, and factories. All of the units perform differently and many have special functions. Players have to work together with their teammates in order to coordinate offenses and decide how best to utilize their production points. Players also have the option of risking production resources on the possibility of developing a super technology that might turn the tide of war.&#10;&#10;Axis and Allies was originally published by Nova Games in 1981.&#10;&#10;Re-implemented by:&#10;&#10;    Axis & Allies Anniversary Edition&#10;     Axis &amp; Allies: Global 1940 (Axis & Allies Pacific 1940 combined with Axis & Allies Europe 1940)&#10;&#10;&#10;&#10;&#10;Expanded by:&#10;&#10;    Totally Untested Volume 2 of Max's Advanced Rules for Axis & Allies (Unofficial expansion)&#10;    Conquest of the Pacific (Unofficial expansion)&#10;    Midway (Unofficial expansion)&#10;&#10;&#10;&#10;&#10;" "//cf.geekdo-images.com/images/pic24006.jpg" 5 180 12 2 180 "Axis & Allies" 180 "//cf.geekdo-images.com/images/pic24006_t.jpg" 1981 "Jim Butcher (II)" "Economic,Wargame,World War II" NA "Larry Harris, Jr." "The Arab Israeli Wars,Axis & Allies Enhanced Realism Rules,Axis & Allies:  A & A Accessories,Central Powers, Axis & Allies Variant,Conquest of the Pacific,Dateline: World War II,East & West: Global War in 1948,Enemy on the Horizon: Axis & Allies Expansion,Honor and Infamy: Commanders (Axis and Allies Variant),Max's Advanced Rules for Axis & Allies,Middle East Combat,New World Order, Axis & Allies Variant,The War to End All Wars: WWI Axis & Allies Variant,The World at War,World War II Expansion 2,World War II Expansion 3: The Battle of Midway,World War II The Expansion" "Axis & Allies,Components: Miniatures,Gamemaster Series" "Area Movement,Dice Rolling,Partnerships" "Jedko Games,Milton Bradley,Nova Game Designs,PewterCraft" 6.53855 8747
"86" 99 "Fortress America, originally part of Milton Bradley's Gamemaster series, depicts an alternate near-future in which all of the world attacks and invades the continental United States. From the west arrives hordes of Asian foes; from the south arrives a union of South American countries through Mexico, and from the east lands come legions of Soviets who have taken over all of Europe. America besieged has to rely on the remaining ground and air forces left in the country along with partisan uprisings to defend mom's apple pie.&#10;&#10;Up to four players can play Fortress America, one player being the U.S. and up to three others controlling the invading units from a particular direction. Being a near future scenario, the units in the game include conventional infantry, APCs, hovertanks, helicopters, bombers, US partisan units, and special &quot;Star Wars&quot; laser relay systems that fire from space.&#10;&#10;The game emphasizes combined arms in that players receive a bonus if infantry, mechanized, and air power are all used in a conflict. For the invading countries, all the units they receive for the game are given at the start so they must manage them wisely. The U.S., however, starts with a skeleton defense and builds up throughout the game through a random deck of cards. Further, the U.S. slowly builds up its Star Wars system, so the longer the invaders are delayed, the more powerful the U.S. becomes both conventionally and through its defense system.&#10;&#10;Reimplemented by:&#10;&#10;&#10;    Fortress America (2012)&#10;&#10;&#10;" "//cf.geekdo-images.com/images/pic100262.jpg" 4 180 12 2 180 "Fortress America" 180 "//cf.geekdo-images.com/images/pic100262_t.jpg" 1986 NA "Science Fiction,Wargame" NA NA "5th Column (fan expansion for Fortress America),Fortress America: Expansion Pack #1,Fortress Illinois" "Alternate History,Country: USA,Gamemaster Series" "Area Movement,Dice Rolling" "Milton Bradley" 6.6939 2144
"87" 101 "This game is part of a family which includes Top Race, Daytona 500, and Formel 1.  Players are dealt a hand of cards which have movement numbers for one or more of the cars.  When a card is played, the cars are advanced the number of spaces indicated in order from top to bottom.  However, if the track is blocked, then that movement is lost, so the idea is to use the cards that help your opponents (which you'll likely have to play eventually) only when they won't be able to take advantage of the movement.&#10;&#10;" "//cf.geekdo-images.com/images/pic70647.jpg" 6 60 8 2 60 "Detroit-Cleveland Grand Prix" 60 "//cf.geekdo-images.com/images/pic70647_t.jpg" 1996 "Ramon Mascarenas,Seth Schwartz" "Card Game,Racing" NA "Wolfgang Kramer" NA "Auto Racing: Wolfgang Kramer card system,Cities: Cleveland (Ohio, USA),Cities: Detroit (Michigan, USA),Sports: Auto Racing" "Auction/Bidding" "Mayfair Games" 6.7734 1023
"88" 102 "Uwe Rosenberg seems to have a talent for inventing novel card game systems, and this game helps his reputation.  Some describe it as Bohnanza, the second helping, and in this game about collecting sets of different kinds of jewelry  players do buy cards from each other and play cards out of their hands to complete sets of four.  However, the points awarded for a complete set are adversely affected if multiple sets of similar cards already exist.&#10;&#10;" "//cf.geekdo-images.com/images/pic158573.jpg" 5 30 10 3 30 "Klunker" 30 "//cf.geekdo-images.com/images/pic158573_t.jpg" 1999 "Oliver Moser,Clarissa Schindler" "Card Game" NA "Uwe Rosenberg" NA "Admin: Better Description Needed!" "Set Collection" "Hans im Glück Verlags-GmbH,Lookout Games,Rio Grande Games" 6.20877 800
"89" 103 "This classic game of the Fantasy Monster Slug-a-thon is a standby from the Avalon Hill of yore.  The game still has a very devoted following, which is a tribute to the depth of the various strategies and approaches.  The game is divided into two realms, the masterboard and the battleboards.  On the masterboard, legions of mythical creatures roam about trying to recruit bigger and badder monsters and kill opposing legions in the process.  When a combat occurs, the action moves to the corresponding battleboard type corresponding to the area the fight is taking place in.  After lots of dice are tossed, the army that remains standing is returned to the masterboard with the spoils of war: points.&#10;&#10;The points are used to recruit Angels and Archangels and to augment the leader character of the player's army: The Titan.  As the points increase, the Titans become ever more powerful; at game end, the titan is able to kill most other character with a single blow. But be careful: If the Titan dies, the player is out of the game.&#10;&#10;The last Titan standing is the ruler of all, and winner of the game.&#10;&#10;" "//cf.geekdo-images.com/images/pic1083237.jpg" 6 240 12 2 30 "Titan" 240 "//cf.geekdo-images.com/images/pic1083237_t.jpg" 1980 "Mike Doyle (I),Kurt Miller,Kenn Nishiuye,David A. Trampier,Chris White (I)" "Fantasy,Fighting" NA "Jason B. McAllister,David A. Trampier" "BattleLands of Titan" "Valley Games Classic Line" "Dice Rolling,Player Elimination,Roll / Spin and Move,Secret Unit Deployment,Set Collection" "Avalon Hill,Gorgonstar Publications,Heidelberger Spieleverlag,Valley Games, Inc." 6.96153 3570
"90" 104 "Players take on the role of editors in this older German title, choosing stories of various general types (politics, sports, entertainment, etc.) to run in their respective newspapers.  Two factors determine a story's worth: timing and size.  The timing is relevant because the later in the game the story is run the more points it's potentially worth.  But in this game (as in the real world) size is important, because only the biggest story of any given headline will score.&#10;&#10;" "//cf.geekdo-images.com/images/pic235375.jpg" 4 90 14 3 90 "Extrablatt" 90 "//cf.geekdo-images.com/images/pic235375_t.jpg" 1991 NA "Territory Building" NA "Karl-Heinz Schmiel" NA NA "Area Control / Area Influence,Set Collection,Simulation,Tile Placement" "Moskito Spiele" 7.04646 246
"91" 105 "Colossal Arena/Titan: This is a strategic card game for 2 to 5 players: you play, not as combatants, but as spectators, cheering and betting on the melee ongoing in a fantasy arena/colosseum in which fantasy creatures are pitted against each other in battle!&#10;&#10;Each round one of the creatures will die. To decide which unlucky soul will be the victim, players put numbered power cards in front of the creatures, with the lowest one going to the graveyard.  The jockeying for position and strategic diplomacy in playing the numbered power cards can be intense - but what makes this game even more interesting is that the players' place bets throughout the game which will sometimes allow them to use a creature's special power in battle!&#10;&#10;The winner at the end of the game is the bettor who's raked in the most winnings - just another day in the life of a fantasy monster gambler.&#10;&#10;Titan: The Arena is actually a reworking of a Reiner Knizia game called Grand National Derby, but Avalon Hill's remake was quite significant from a gameplay standpoint.&#10;&#10;The Titan: The Arena printing is often confused with its namesake, Titan.  But other than the fact that they both use fantasy creatures as a general theme, there is very little that is similar between the two.&#10;&#10;Reimplemented by: Galaxy: The Dark Ages&#10;&#10;" "//cf.geekdo-images.com/images/pic1680709.jpg" 5 60 8 2 60 "Colossal Arena" 60 "//cf.geekdo-images.com/images/pic1680709_t.jpg" 1997 "Cyrille Daujean,Thierry Doizon,Dan Harding,Steve Holmes,Jan Patrik Krásný,Tyson Milbert,Kurt Miller,Keith Parkinson" "Card Game,Fantasy,Mythology" NA "Reiner Knizia" NA "Fantasy Flight Silver Line Games,Knizia Betting Trilogy,Monsters" "Betting/Wagering,Hand Management" "Altar Games,Avalon Hill,Delta Vision Publishing,Edge Entertainment,Fantasy Flight Games,Hobby Japan,Korea Boardgames co., Ltd.,Lautapelit.fi,Midgaard Games,Nexus,Swan Panasia Co., Ltd.,Ubik" 6.79949 6292
"92" 106 "This game attaches an interesting theme to a fairly standard Rummy framework.  Playing Victims, Suspects, Scenes, and Evidence-melds, players try to build a case against various suspects for the famous Jack the Ripper serial murders.  Whichever suit has the most cards played in it when a player goes out is the guilty party, but if all the Victim cards come out before the end of the game, the Ripper might escape, giving the player who produced that card a significant point allowance.&#10;&#10;This is #1 in the Mystery Rummy series.&#10;&#10;" "//cf.geekdo-images.com/images/pic592086.jpg" 4 45 10 2 45 "Mystery Rummy: Jack the Ripper" 45 "//cf.geekdo-images.com/images/pic592086_t.jpg" 1998 "Christine Conrad,Virginijus Poshkus" "Card Game,Murder/Mystery" NA "Mike Fitzgerald" NA "Card Games: Draw and Discard Games,Characters: Jack the Ripper,Mystery Rummy,Rummy Games" "Hand Management,Set Collection,Voting" "Eagle-Gryphon Games,Edge Entertainment,Kaissa Chess & Games,Pegasus Spiele,U.S. Games Systems, Inc." 6.97858 2895
"93" 108 "The hexagonal board has several holes in it for the unique playing pieces.  Each player uses sand timers as his pieces, and a turn is simply to move to an adjacent space, flipping the timer in the process.  The number of times that each space on the board can be occupied is limited, but the more central spaces can have more traffic.  The object of the game is simply to have any of your pieces movable when your opponent's pieces are either locked in place, or out of sand.&#10;&#10;This game was originally part of project GIPF.&#10;&#10;" "//cf.geekdo-images.com/images/pic54775.jpg" 2 20 8 2 20 "TAMSK" 20 "//cf.geekdo-images.com/images/pic54775_t.jpg" 1998 "lu'cifer" "Abstract Strategy,Real-time" NA "Kris Burm" NA "GIPF Project" "Area Enclosure,Grid Movement" "Don & Co.,Rio Grande Games,Schmidt Spiele" 6.78007 1234
"94" 109 "Jean du Po&#195;&#171;l put this game out on the market for about a year before the game's name was changed to Wettstreit der Baumeister in 1998.&#10;&#10;This translates to &quot;Contest of the Architects&quot;. The game has a beautiful assortment of large, thick tiles to represent the cities. Players bid on a single building tile every turn, with half the proceeds going to the auctioning player. When a player is ready to start construction of his city, the tiles are laid out in order with the single restriction that not two touching tiles are the same type. The building types are city halls, churches, towers, and gates. When the one of the two draw piles is exhausted, the cities are judged for symmetry, with the highest scoring city winning.&#10;&#10;Rules apply to either game:&#10;&#10;Within two decks of 20 cards are contained the City Wall, Towers and Gates, Churches, City Halls, etc. During play, one of the decks lies face up, the other face down. There are three parts to each player's turn. First, the player rolls a die in an attempt to better his finances (1 to 5 on the die; the sixth side gives a sabotage-counter instead). Second, he alone may look at the top hidden card before he makes an offer on either of the two top cards from the two decks. The other players then bid on the two cards. If the player (the Auctioneer) makes the highest bid, he may take the card and pay the bank. If, on the other hand, one of the other players buys the card, that player pays half the money to the bank and half to the Auctioneer. Third, a player may either build (lay down another card on his city) or sabotage a City Card of another player. The player receiving the sabotage must then pay the value of the card or remove it.&#10;&#10;The game ends when either of the decks is depleted.&#10;&#10;" "//cf.geekdo-images.com/images/pic613651.jpg" 4 45 10 3 45 "Wettstreit der Baumeister" 45 "//cf.geekdo-images.com/images/pic613651_t.jpg" 1994 "Claus Stephan" "City Building" NA "Jean du Poël" NA NA "Auction/Bidding" "Historien Spiele Galerie (Historien Spielegalerie),KOSMOS,Tilsit" 6.11431 359
"95" 110 "Auf Achse translates roughly to &quot;On the Road,&quot; an appropriate title for this 1987 Spiel des Jahres winner which has players delivering loads of commodities to various German and other European cities. Supply cities and demand cities are determined through card play, and players attempt to get delivery contracts by bidding against one another. Movement is accomplished by rolling a die and then moving little rubberized trucks around an abstracted map which depicts lots of interconnected roads and cities in Germany and surrounding countries.&#10;&#10;Re-released in 2007 with new artwork and several rule changes designed to reduce randomness.&#10;&#10;" "//cf.geekdo-images.com/images/pic348799.jpg" 6 60 8 2 60 "Auf Achse" 60 "//cf.geekdo-images.com/images/pic348799_t.jpg" 1987 "Jochen Frick,Harald Lieske" "Economic,Transportation" NA "Wolfgang Kramer" NA "Auf Achse,Country: Germany,Promotional Board Games" "Auction/Bidding,Pick-up and Deliver,Roll / Spin and Move" "F.X. Schmid,Grow Jogos e Brinquedos,Ravensburger Spieleverlag GmbH,Rhenania Gruppe,Schmidt Spiele,Vini-Spil" 6.26805 1293
"96" 111 "This Reiner Knizia game, produced by Hasbro's European division, casts players in the roles of dukes who are trying to establish duchies along the banks of the Rhine River.  Players hold a hand of cards that correspond to numbered plots on each bank, and they place knights in open plots for which they hold the corresponding cards.  After establishing duchies, players attempt to expand them to include more plots of land, as well as buildings - such as castles, cathedrals, and cities. These buildings both add to the value of a duchy and provide their owners with advantages during game play.  Combined with a uniquely Knizia-style scoring system, this game has some very interesting dynamics.&#10;&#10;" "//cf.geekdo-images.com/images/pic49307.jpg" 5 90 12 3 45 "Rheinländer" 90 "//cf.geekdo-images.com/images/pic49307_t.jpg" 1999 "William O'Connor,Franz Vohwinkel" "Abstract Strategy,Medieval,Territory Building" NA "Reiner Knizia" NA "Admin: Better Description Needed!,Country: Germany" "Area Control / Area Influence,Area Enclosure,Hand Management" "Face2Face Games,Hasbro,Parker Brothers" 6.61642 1396
"97" 112 "It is 13th century Italy. Trade is flourishing between the city-states and the Levant. Venice, Florence, and Genoa are all bursting with wealth. However, each city-state is also plagued with a weak national army, leaving them defenseless against invasion from their envious neighbors. Enter the Condottiere. &#10; As veteran English soldiers returned from the Crusades, Italy found itself with an influx of desperate and capable men. These hired swords were contracted to fight for individual city-states by an agreement known as a condotta. The most elite of these men were the mercenary leaders known as the Condottiere.&#10;&#10;The object of Condottiere is to acquire four connected provinces in renaissance Italy. To do this players auction off different provinces on the board and bid on these provinces with a hand of cards representing mercenaries, seasons, scarecrows, and political figures. However, unlike standard auctions in which only the highest bidder loses their bid, in Condottiere every player loses their bid.  Players are, in effect, bidding the number of troops they are willing to lose in order to win a province. However, several special effect cards shake the contests up and keep the players guessing.&#10;&#10;" "//cf.geekdo-images.com/images/pic239843.jpg" 6 45 14 2 45 "Condottiere" 45 "//cf.geekdo-images.com/images/pic239843_t.jpg" 1995 "Dominique Ehrhard,John Goodenough,Serge Hochain,Tomasz Jedruszek,Scott Nicely,David Palumbo" "Bluffing,Card Game,Medieval,Negotiation" NA "Dominique Ehrhard,Duccio Vitale" NA "Admin: Better Description Needed!,Country: Italy,Fantasy Flight Silver Line Games" "Area Control / Area Influence,Auction/Bidding,Hand Management" "Arclight,Descartes Editeur,Edge Entertainment,Eurogames,Fantasy Flight Games,Galakta,Giochi Uniti,Heidelberger Spieleverlag,Hobby World,Lautapelit.fi,Nexus,Ubik" 6.73922 6301
"98" 113 "This trick-taking game has quite a few twists.  Those accustomed to the genre will be particularly thrown off by two aspects: players don't have to follow suit, and the loser of a trick leads the next trick.  Those features, along with an unusual scoring system (you want to be really strong in two suits and really weak in the other two) and the fact that the winner of a trick gets to choose which cards to take, combine to create a very unusual game..&#10;&#10;" "//cf.geekdo-images.com/images/pic78039.jpg" 6 60 10 4 60 "Mit List und Tücke" 60 "//cf.geekdo-images.com/images/pic78039_t.jpg" 1999 NA "Card Game" NA "Klaus Palesch" NA NA "Trick-taking" "Berliner Spielkarten" 6.61422 204
"99" 114 "This game comes inside what looks like a video tape case, which is definitely odd for a board game.  Inside the package are cards for properties on Manhattan island, workers, building materials, and building contracts.  Each turn, players turn over a card and either purchase it outright or auction it to the group.  But when the contracts get bought, players will need to negotiate a deal, because it's very difficult to build a decent sized building on your own.  The deal making is vicious and cutthroat, ergo the name.&#10;&#10;The 1995 edition features rules in English, Japanese, German, Spanish and French (see the Tidwell review).&#10;&#10;" "//cf.geekdo-images.com/images/pic236986.jpg" 6 45 12 2 45 "Ransom" 45 "//cf.geekdo-images.com/images/pic236986_t.jpg" 1994 "Lewis Michael" "Abstract Strategy,Bluffing,City Building,Economic,Negotiation" NA "Lewis Michael,Philip O'Neill" NA "Video Tape Box Games" "Auction/Bidding,Co-operative Play,Commodity Speculation,Memory,Partnerships,Trading" "(Self-Published)" 6.42 70
"100" 115 "Classic negotiation game in which players take turns being &quot;The Boss&quot; arranging deals between specific players on how best to divide piles of money. Players can sabotage or kill deals they're not happy with.&#10;&#10;Rarely is a game stripped down to its bare essense as cleanly as I'm the Boss! is. Up to fifteen deals can be made over the course of the game, and a player who is part of a successful deal will receive a certain amount of money.&#10;&#10;How much money? Well, that depends on whatever deal is made among the players involved, as negotiated by that round's boss. Complicating matters quite a bit, however, each player has a hand of action cards that can be used to derail negotiations, insert themselves into a deal, take over the role of boss, and otherwise muck with the smooth flow of deal-making that other players had hoped to achieve. Nertz to them! If you want to make a deal, you gotta cut me a share!&#10;&#10;Once nine deals have been made, a die is rolled after each subsequent deal to determine whether the game ends (with the odds increasing each time). Victory goes to whoever has the biggest bankroll!&#10;&#10;" "//cf.geekdo-images.com/images/pic130807.jpg" 6 60 12 3 60 "I'm the Boss!" 60 "//cf.geekdo-images.com/images/pic130807_t.jpg" 1994 "William O'Connor" "Negotiation" NA "Sid Sackson" NA "Admin: Better Description Needed!,Gryphon Family Games series" "Dice Rolling,Hand Management,Roll / Spin and Move,Set Collection,Take That" "Eagle-Gryphon Games,Edge Entertainment,Face2Face Games,Kaissa Chess & Games,Korea Boardgames co., Ltd.,New Games Order, LLC,Schmidt Spiele,Stratelibri,Swan Panasia Co., Ltd." 6.82562 3062
"101" 116 "The French Revolution is famous in part for the use of the guillotine to put nobles to death, and this is the macabre subject of this light card game.  As executioners pandering to the masses, the players are trying to behead the least popular nobles.  Each day the nobles are lined up and players take turns killing the ones at the front of the line until all the nobles are gone.  However, players are given cards which will manipulate the line order right before 'harvesting,' which is what makes the game interesting.  After three days worth of chopping, the highest total carries the day.&#10;&#10;" "//cf.geekdo-images.com/images/pic143139.jpg" 5 30 12 2 30 "Guillotine" 30 "//cf.geekdo-images.com/images/pic143139_t.jpg" 1998 "Quinton Hoover,Mike Raabe" "Card Game,Humor" NA "Paul Peterson" NA "Country: France" "Hand Management" "AMIGO Spiel + Freizeit GmbH,Darwin Project,Halloween Concept,Hasbro,Play Factory,PS-Games,Wizards of the Coast" 6.53873 15334
"102" 117 "In Ta Y&uuml;, a game of connections, one side tries to extend from the starting tile in the center to reach the western and eastern edges of the board while the opposing side tries to reach the northern and southern edges.  On your turn you simply draw a tile and decide where to place it, extending the network of tiles already on the board.&#10;&#10;Several refinements make this simple proposition into an engrossing game.  First, each tile is 3x1 (to be played on a 19x19 board) and has exactly three outlets (potential connection points). Second, your score is not simply the number of spots you've reached on one edge added to the number of spots you've reached on the other, but is the product of those two numbers.  So you can't just concentrate on one side and ignore the other, because zero times anything is still zero.  Third, on each side of the board there are three special points which score double if reached, adding a dab of focus to the choices.&#10;&#10;Interestingly, you need to play both offense and defense and will often have to decide to which use to put a particular tile.&#10;&#10;" "//cf.geekdo-images.com/images/pic240949.jpg" 4 45 10 2 30 "Ta Yü" 45 "//cf.geekdo-images.com/images/pic240949_t.jpg" 1999 "Anke Pohl,Thilo Rick,Claus Stephan" "Abstract Strategy" NA "Niek Neuwahl" NA "Asian Theme,Connection Games" "Partnerships,Pattern Building,Route/Network Building,Tile Placement" "Crown & Andrews Ltd.,Goliath B.V.,KOSMOS,Rio Grande Games" 6.99002 1263
"103" 118 "Buying and selling paintings is a very lucrative business, at least that's what Hollywood's led us to believe, and that's the premise of this game.  Five different artists have produced a bunch of paintings, and it's the player's task to be both the buyer and the seller, hopefully making a profit in both roles.  He does this by putting a painting from his hand up for auction each turn.  He gets the money if some other player buys it, but must pay the bank if he buys it for himself.  After each round, paintings are valued by the number of paintings of that type that were sold.  The broker with the most cash after four rounds is the winner.&#10;&#10;Part of the Knizia auction trilogy.&#10;&#10;" "//cf.geekdo-images.com/images/pic3458036.png" 5 45 10 3 45 "Modern Art" 45 "//cf.geekdo-images.com/images/pic3458036_t.png" 1992 "Carole Carrion,Manuel Carvalho,Mike Doyle (I),Pete Fenlon,Paul Laane,Ramon Martins,Daniel Melim,Rafael Silveira,Sigrid Thaler,Zeilbeck & Natzeck Design Company" "Card Game,Economic" NA "Reiner Knizia" NA "Visual Arts: Painting" "Auction/Bidding,Commodity Speculation,Hand Management" "CMON Limited,Drosselmeyer & Co. Ltd.,GeGe Co Ltd,Hans im Glück Verlags-GmbH,Kaissa Chess & Games,Lautapelit.fi,Matagot,Mayfair Games,New Games Order, LLC,Odysseia Jogos,Oink Games,Pegasus Spiele,REBEL.pl,Wargames Club Publishing" 7.30341 11439
